record_type,game_pk,game_date,season,ref,venue,batting_team,fielding_team,home_away_batting,home_away_pitching,day_night,batter,batter_id,bat_side,batter_split,pitcher,pitcher_id,pitch_hand,pitcher_split,men_on_base,event,event_type,rbi,is_out,is_scoring,total_outs,description,pitch_type,pitch_call,speed_mph,spin_rate,break_vertical,break_horizontal,launch_speed,launch_angle,total_distance,trajectory,hardness
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Lars Nootbaar,663457,L,vs_RHP,Mitch Keller,656605,R,vs_LHB,Empty,Groundout,field_out,0,True,False,1,"Lars Nootbaar grounds out, first baseman Endy Rodríguez to pitcher Mitch Keller.",Four-Seam Fastball,"In play, out(s)",92.0,2425.0,-14.8,8.0,101.5,-32.0,5.0,ground_ball,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Willson Contreras,575929,R,vs_RHP,Mitch Keller,656605,R,vs_RHB,Empty,Flyout,field_out,0,True,False,1,Willson Contreras flies out sharply to center fielder Jack Suwinski.,Sweeper,"In play, out(s)",81.3,2653.0,-40.3,-16.4,107.5,31.0,384.0,fly_ball,hard
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Brendan Donovan,680977,L,vs_RHP,Mitch Keller,656605,R,vs_LHB,Men_On,Single,single,0,False,False,0,Brendan Donovan singles on a line drive to center fielder Jack Suwinski.,Four-Seam Fastball,"In play, no out",93.8,2507.0,-17.3,8.4,82.7,15.0,179.0,line_drive,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Nolan Arenado,571448,R,vs_RHP,Mitch Keller,656605,R,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Nolan Arenado grounds out, third baseman Ke'Bryan Hayes to first baseman Endy Rodríguez.",Four-Seam Fastball,"In play, out(s)",92.4,2369.0,-15.6,3.8,74.0,-10.0,13.0,ground_ball,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,home,away,day,Jack Suwinski,669261,L,vs_RHP,Erick Fedde,607200,R,vs_LHB,Men_On,Walk,walk,0,False,False,0,Jack Suwinski walks.,Sinker,Ball,92.8,1960.0,-23.3,9.1,,,,,
pitch,778389,2025-04-09,2025,202504,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,home,away,day,Bryan Reynolds,668804,L,vs_RHP,Erick Fedde,607200,R,vs_LHB,Men_On,Lineout,field_out,0,True,False,1,Bryan Reynolds lines out to left fielder Brendan Donovan.,Cutter,"In play, out(s)",90.7,2151.0,-22.3,0.6,99.5,23.0,316.0,line_drive,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,home,away,day,Andrew McCutchen,457705,R,vs_RHP,Erick Fedde,607200,R,vs_RHB,Men_On,Pop Out,field_out,0,True,False,1,Andrew McCutchen pops out to first baseman Alec Burleson in foul territory.,Cutter,"In play, out(s)",89.4,1937.0,-24.4,-1.0,82.5,71.0,111.0,popup,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,home,away,day,Joey Bart,663698,R,vs_RHP,Erick Fedde,607200,R,vs_RHB,Empty,Lineout,field_out,0,True,False,1,Joey Bart lines out sharply to center fielder Victor Scott II.,Cutter,"In play, out(s)",90.7,2012.0,-22.8,0.2,102.8,22.0,374.0,line_drive,hard
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Alec Burleson,676475,L,vs_RHP,Mitch Keller,656605,R,vs_LHB,Empty,Groundout,field_out,0,True,False,1,"Alec Burleson grounds out, shortstop Tsung-Che Cheng to first baseman Endy Rodríguez.",Curveball,"In play, out(s)",78.2,2573.0,-61.6,-16.7,88.4,-24.0,5.0,ground_ball,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Pedro Pagés,686780,R,vs_RHP,Mitch Keller,656605,R,vs_RHB,Empty,Pop Out,field_out,0,True,False,1,Pedro Pagés pops out to second baseman Adam Frazier.,Sinker,"In play, out(s)",91.7,2509.0,-25.6,10.0,68.7,39.0,207.0,popup,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Victor Scott II,687363,L,vs_RHP,Mitch Keller,656605,R,vs_LHB,Men_On,Single,single,0,False,False,0,Victor Scott II singles on a line drive to center fielder Jack Suwinski.,Sinker,"In play, no out",92.0,2480.0,-22.6,13.8,99.0,11.0,195.0,line_drive,medium
pitch,778389,2025-04-09,2025,202504,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,away,home,day,Thomas Saggese,695336,R,vs_RHP,Mitch Keller,656605,R,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Thomas Saggese called out on strikes.,Four-Seam Fastball,Called Strike,94.4,2370.0,-11.9,5.4,,,,,
